                      http://tx4.us/nbs-iscc.htm
                        NBS/ISCC Color System

Copyright � 2003 Voluntocracy.  Permission is granted to copy and
distribute modified or unmodified versions of this color dictionary
provided the copyright notice and this permission notice are preserved
on all copies and the entire such work is distributed under the terms
of a permission notice identical to this one.

"Pink" and "brown" are used instead of the more logical "pale red" and
"dark orange".

http://www.anthus.com/Colors/Cent.html by David A. Mundie, converted
the NBS Centroid colors from Munsell to CIE XYZ, then converted to Mac
QuickDraw RGB.  The colors were visibly biased towards pink and had
duplications.

John Foster reconverted supplied Munsell values via Munsell software
downloaded from www.gretagmacbeth.com <http://www.gretagmacbeth.com>
directly to RGB, and tried to resolve some duplicates.  Some of these
don't even look right, because some of the bright colors are on the
dark fringes with less chroma and are not centered and high up on the
hue curves.  Many of the original Munsell values (noted) are outside
the RGB gamut, and have been adjusted to the closest brightest RGB
value by changing chroma until 0 or 255 is reached in one out of
bounds RGB component.  Guesses were made in a few cases (noted) where
the color was still illogical compared to the name.

l,a,b,name
60.090542927165444,-53.192465715755866,36.78415183199119,Vivid Yellowish Green
77.81170250878233,-41.41431140680118,35.03196917459768,Brilliant Yellowish Green
54.97143523202507,-40.54539176485073,31.684728819851905,Strong Yellowish Green
35.838052122660145,-38.101393859139435,23.171972776077865,Deep Yellowish Green
16.808210471603807,-22.984044745113188,11.641230271745401,Very Deep Yellowish Green
86.54251532948717,-25.220557332749138,21.49666020211367,Very Light Yellowish Green
74.9570755689076,-26.365020302403508,20.431408261338756,Light Yellowish Green
56.50587558296937,-23.703599302354604,18.217435287158203,Moderate Yellowish Green
36.133518618408104,-22.792782758612322,15.69107787266486,Dark Yellowish Green
19.739546435029183,-17.56807302192398,10.401215707014156,Very Dark Yellowish Green
49.832688221712246,-43.98077203358836,18.212276749867407,Vivid Green
66.11337340451107,-43.17122176324501,12.44729571010792,Brilliant Green
44.79407602365049,-37.232062407651256,9.540185843315452,Strong Green
31.0601495180803,-28.75266599471349,7.247009423578488,Deep Green
78.78949282089383,-27.772430998202758,8.692003990015662,Very Light Green
65.07476455421147,-27.455887531194488,8.444236850479282,Light Green
45.94084592280719,-25.735110762732937,6.619173812160772,Moderate Green
